id,reasoning,brand,car_model,imputed_year,imputed_mileage_km,imputed_condition,battery_status,is_accident_free,has_aftermarket_mods
0,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage derived from description: 'chạy chuẩn 5 vạn km' equals 50,000 km. imputed_condition not explicitly mentioned; returning null. battery_status not explicitly mentioned; returning null. is_accident_free not explicitly mentioned; returning null. has_aftermarket_mods not explicitly mentioned; returning null.",VinFast,VF8 Plus AWD,2023,50000.0,,,,False
1,"From Name: 'Xe VinFast VF8 Eco 2026' implies brand VinFast and model VF8 Eco, imputed_year=2026. Description includes 'Xe điện mới 100%' -> imputed_condition='Mới 100%'; Per rule, imputed_mileage_km=0. mileage not stated elsewhere -> null.",VinFast,VF8 Eco,2026,0.0,Mới 100%,,,False
2,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage: 'chạy chuẩn 9,9 vạn km' equals 99,000 km. imputed_condition not explicitly mentioned; returning null.",VinFast,VF8 Plus AWD,2023,99000.0,,,,False
3,"From Name: 'Xe VinFast VF8 Eco AWD 2023' implies brand VinFast and model VF8 Eco AWD, imputed_year=2023. Mileage not explicitly stated; returning null.",VinFast,VF8 Eco AWD,2023,,,,,False
4,"From Name: 'Xe VinFast VF5 Plus 2024' implies brand VinFast and model VF5 Plus, imputed_year=2024. Mileage not explicitly stated; returning null.",VinFast,VF5 Plus,2024,,,,,False
5,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage: 'odo ... vài chục km cho đến vài vạn' not explicit; returning null.",VinFast,VF8 Plus AWD,2023,,,,,False
6,"From Name: 'Xe VinFast VF8 Eco AWD 2023' implies brand VinFast and model VF8 Eco AWD, imputed_year=2023. Odo: 48950 km explicit.",VinFast,VF8 Eco AWD,2023,48950.0,,,,False
7,"From Name: 'Xe VinFast VF5 Plus 2025' implies brand VinFast and model VF5 Plus, imputed_year=2025. Mileage not explicitly stated; returning null.",VinFast,VF5 Plus,2025,,,,,False
8,"From Name: 'Xe Mercedes Benz EQS 450 Plus 2023' implies brand Mercedes-Benz and model EQS 450 Plus, imputed_year=2023. Mileage not explicitly stated; returning null.",Mercedes-Benz,EQS 450 Plus,2023,,,,,False
9,"From Name: 'Xe VinFast VF8 Eco AWD 2023' implies brand VinFast and model VF8 Eco AWD, imputed_year=2023. Odo: 'hơn 4 vạn' not explicit; returning null.",VinFast,VF8 Eco AWD,2023,,,,,False
10,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage: '4.7 vạn km' equals 47,000 km.",VinFast,VF8 Plus AWD,2023,47000.0,,,,False
11,"From Name: 'Xe VinFast VF8 Plus AWD 2026' implies brand VinFast and model VF8 Plus AWD, imputed_year=2026. Mileage not explicitly stated; returning null.",VinFast,VF8 Plus AWD,2026,,,,,False
12,"From Name: 'Xe VinFast VF8 Plus AWD 2023' implies brand VinFast and model VF8 Plus AWD, imputed_year=2023. Mileage not explicitly stated; returning null.",VinFast,VF8 Plus AWD,2023,,,,,False
