ID,Tên,Thông tin mô tả,Tính năng nổi bật,Tính năng khác,Kiểu dáng,Màu bên ngoài,Chiều dài(mm),Chiều dài cơ sở(mm),Chiều rộng(mm),khoảng sáng gầm(mm),Số chỗ ngồi,Trọng lượng bản thân (kg),Trọng lượng toàn tải,Dung tích khoang hành lý (lít),Dung tích khoang hành lý khi gặp ghế sau (lít),Công suất tốt đa,Tốc độ tối đa,0-100,Tầm hoạt động,Dung lượng pin,Chi phí sạc đầy,Chi phí hàng tháng,Sạc chậm (giờ),Sạc tiêu chuẩn (giờ),Sạc treo tường
100000730,BINGO ,"Wuling Bingo phiên bản 333 km là dòng xe hatchback điện 5 cửa phổ biến, nổi bật với pin LFP 31,9 kWh, phạm vi di chuyển 333 km (CLTC). Xe trang bị mô-tơ điện công suất 50 kW (67 mã lực), mô-men xoắn 150 Nm, tốc độ tối đa 100-120 km/h, kích thước nhỏ gọn 3.950 x 1.708 x 1.580 mm, phù hợp nhu cầu di chuyển đô thị. -Thông số chi tiết Wuling Bingo 333 km:-Động cơ & Vận hành:-Công suất: 50 kW (67 mã lực).-Mô-men xoắn: 150 Nm.-Tốc độ tối đa: 100 - 120 km/h.-Hệ dẫn động: Cầu trước.-Pin & Sạc:-Dung lượng pin: 31,9 kWh (Pin LFP).-Phạm vi di chuyển: 333 km (theo chu trình CLTC).-Thời gian sạc AC (3,3 kW): Khoảng 9,5 giờ hoặc 8 giờ (20-100%).-Sạc nhanh (DC): Có hỗ trợ, mất khoảng 4 giờ (20-100%).-Kích thước & Trọng lượng:-Dài x Rộng x Cao: 3.950 x 1.708 x 1.580 mm.-Chiều dài cơ sở: 2.560 mm.-Khoảng sáng gầm: 160 mm.-Lốp: 185/60R15.-Tiện nghi & An toàn:-Nội thất: Màn hình kép 10,25 inch (bảng đồng hồ và giải trí), ghế da.-An toàn: Phanh đĩa, phanh tay điện tử, camera lùi, túi khí phía trước, ABS, EBD.",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Cửa gió điều hoà hàng ghế thứ 2 - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí bên phía trước và sau - Túi khí rèm phía trước và sau - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,Hatchback,Khác,3950,2560,1708,160,5,1125,,,,67.0 hp,100 km/h,N/A,333.0 km,31.9 kWh,55000 VNĐ,248000 VNĐ,Sạc đầy khoảng 12 giờ,Sạc đầy khoảng 8 giờ,Sạc đầy khoảng 4 giờ
100000783,VinFast VF5 ,"VinFast VF 5 là thành phẩm được tạo nên từ bản thiết kế của các thương hiệu lừng danh toàn cầu, gồm Torino Design và Pininfarina. Với thông số chiều dài 3.965 mm, chiều rộng 1.720 mm cùng chiều cao 1.580 mm và trục cơ sở 2.513 mm, VF 5 có thể xoay sở một cách linh hoạt trên các cung đường phố đông đúc.--Bảng màu xe VinFast VF 5 dành cho khách Việt cũng rất đa dạng với 8 lựa chọn màu ngoại thất, gồm Xám, Đỏ, Xanh dương, Trắng, Vàng, Hồng tím, Xanh dương nhạt, Xanh lá nhạt và 3 gam màu nội thất, giúp đáp ứng tốt nhu cầu cá nhân hóa của người dùng.",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000782,VinFast VF3 ,"Với mục đích hướng tới tệp khách hàng mua ô tô lần đầu hoặc những người có nhu cầu về một mẫu xe nhỏ gọn để di chuyển trên các tuyến phố chật hẹp nên VinFast VF 3 sở hữu ngoại hình rất nhỏ gọn. Các thông số về mẫu mini car này chưa được công bố nhưng theo tin tức lan truyền trên các hội nhóm, xe sở hữu kích thước chiều dài x rộng x cao lần lượt là 3.114 x 1.673 x 1.567 (mm). Nếu những con số này chính xác thì VF 3 sẽ lớn hơn đối thủ trực tiếp Wuling Hongguang Mini EV đang mở bán chính hãng tại Việt Nam.",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,,3190,2075,1679,191,5,857,1157,36,285,43.0 hp,100 km/h,19.3 giây,210.0 km,18.6 kWh,25000 VNĐ,384000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
100000777,VinFast VF5 2024 Plus ,"Hàng về đầu năm ae nhé.-Vf5 bản plus sx 2024-Odo 2.2v zin.-Xe đẹp đã lên: cảm biến áp suất lốp, đèn led, dán kính, Sàn.",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000785,Minio Green ,"VinFast Minio Green (hay Minio) là mẫu ô tô điện mini 4 chỗ nhỏ nhất của VinFast, giá 269 triệu VNĐ, ra mắt năm 2025, hướng tới kinh doanh dịch vụ và di chuyển đô thị. Xe có kích thước 3.090 x 1.496 x 1.625 mm, pin 18,3 kWh cho phạm vi hoạt động 210 km (NEDC), sạc nhanh 10-70% trong 30 phút, tối ưu chi phí vận hành.",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,,3090,2065,1496,165,5,857,1157,36,285,27.0 hp,100 km/h,19.3 giây,170.0 km,14.7 kWh,25000 VNĐ,384000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
100000784,EC Van ,"Thông số kỹ thuật-Dài x rộng x Cao (mm)-3.767 x 1.680 x 1.790-Chiều dài cơ sở-2.520 mm-Khoảng sáng gầm xe không tải-165 mm-Bán kính quay vòng-5,1 m-Dung tích khoang hành lý-2,6 m3-Số chỗ ngồi-02 chỗ-Công suất tối đa-30 kW-Mô men xoắn cực đại-110 Nm-Quãng đường di chuyển (NEDC)-175 km/sạc đầy-Dung lượng pin khả dụng-18,3 kWh-Công suất sạc nhanh DC tối đa-24,2 kW-Thời gian nạp pin nhanh nhất-42 phút (10% - 70%)",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,Van,,3767,2520,1680,165,4,,,,,41.0 hp,N/A,N/A,150.0 km,17.0 kWh,29000 VNĐ,293000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
100000781,VinFast VF5 2025 Plus ,"VF5  Đỏ Plus sản xuất 2024 đăng ký lần đầu 2025 :-✨ Odo : 2v km-✨ Xe đã được mua đứt Pin miễn phí sạc tới 2027 -✨ Xe trang bị thêm: -Phim cách nhiệt hạng thương gia 8T, thảm sàn 2,5T ,bệ tỳ tay phi thuyền 5T, cam lùi , cam hành trình chính hãng 8T, thảm taplo , đăng kiểm 2 năm, và rất nhiều đồ chơi khác ..vvv",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000779,VinFast VF3 2024 ,"Bán vf3 bản thuê pin 900k, xe đi được 1v tròn dk 12/2024 giá 222tr (kmc) thợ đi qua hộ em-Xe e đã độ mâm, cốp trước 90l, cách âm phun xe , trần chồng nóng, full nét đổi màu, bóng led a85, gương điện , ốp cản trước sau , sơn viền bóng dưới cam lùi , dán phim , gia cố càng A, giảm trấn .-Ko 1 lỗi lầm, ae tét thoải mái ạ-Sdt : ***, ae thiện chí thì alo em",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Trắng,3190,2075,1679,191,5,857,1157,36,285,43.0 hp,100 km/h,19.3 giây,210.0 km,18.6 kWh,25000 VNĐ,384000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
100000739,"VF5 – XE XỊN, GIÁ NHẸ, VAY DỄ, KIẾM TIỀN CỰC LỜI!","VF 5 - ĐẦU TƯ AN TÂM VỚI LÃI SUẤT CỐ ĐỊNH*--Với chính sách hỗ trợ lãi suất cố định 7%/năm trong 3 năm đầu*, việc sở hữu VF 5 – mẫu A-SUV điện nhỏ gọn dành cho đô thị – nay trở nên dễ tiếp cận và an tâm hơn nhờ các ưu đãi hấp dẫn:--Lãi suất cố định ở mức 7%/năm trong 36 tháng đầu tiên*:-✔ Dễ dàng lập kế hoạch chi trả hàng tháng-✔ Giảm rủi ro trước biến động lãi suất thị trường-✔ Duy trì kế hoạch chi tiêu ổn định--Cùng với các Chính sách bán hàng ưu đãi hấp dẫn:-⚡ Mua xe “0 đồng” đến hết 31/12/2026*-⚡ Miễn 100% lệ phí trước bạ**-⚡ Miễn phí sạc pin đến hết tháng 6/2027*--Lựa chọn VF 5 không chỉ là lựa chọn người bạn thông minh đồng hành mà còn là lựa chọn đầu tư an toàn bền vững dài lâu.--🎁 Đặc biệt, chương trình tri ân khách hàng Tết 2026*: Nhận ngay 1 món quà* từ VinFast ngay hôm nay.-Thời gian áp dụng: 01/12/2025 – 10/02/2026.--VF 5 - Người bạn đồng hành thông minh và hiệu quả-___________________________- 𝐕 𝐈 𝐍 𝐅 𝐀 𝐒 𝐓 𝐀̂𝐔 𝐋𝐀̣𝐂 𝐇𝐀̉𝐈 𝐏𝐇𝐎̀𝐍𝐆-Ô Tô Công ty TNHH Ô Tô Âu Lạc-📌VinFast Âu Lạc - 1248 Nguyễn Bỉnh Khiêm, Đông Hải, Hải Phòng-📞Hotline KD : ***",Các cảm biến đỗ xe - Cảnh báo chệch làn đường - Cảnh báo điểm mù - Ghế da - Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Camera 360 - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hệ thống camera sau - Hỗ trợ khởi hành ngang dốc - Kiểm soát hành trình - Kiểm soát lực kéo - Màn hình cảm ứng - Nội thất bằng da - Phân phối lực phanh điện tử - Túi khí: Hành khách phía sau - Túi khí: Hành khách phía trước - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,3967,2513,1723,182,5,1360,1685,260,900,134.0 hp,130 km/h,12.0 giây,326.4 km,37.2 kWh,64000 VNĐ,320000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 30 phút
100000737,Lô VF3 NEW 2025 Trắng ,"E vừa về Lô Vf3 NEW 2025 Trắng - Xám - Đỏ đã ra đăng ký, đăng kiểm chỉ còn 245tr (xe mua pin) ODO 17KM mời các pác bê về đi Tết ah.-Alo em ở Long Biên HN",Hỗ trợ lái - Hỗ trợ phanh khẩn cấp,Bluetooth - Cân bằng điện tử - Chống bó cứng phanh - Đài AM/FM - Đèn báo phanh khẩn cấp - Gạt nước kính - Hỗ trợ khởi hành ngang dốc - Kiểm soát lực kéo - Túi khí: Người lái xe - USB - Wifi,SUV/Crossover,Đỏ,3190,2075,1679,191,5,857,1157,36,285,43.0 hp,100 km/h,19.3 giây,210.0 km,18.6 kWh,25000 VNĐ,384000 VNĐ,Sạc đầy khoảng 18 giờ,Sạc đầy khoảng 6 giờ,Sạc đầy khoảng 70% trong 36 phút
